word,uses,positives,negatives,pos fraction,neg fraction,rel positivity,rel negativity
thinking,12,2,6,0.16666666666666666,0.5,1.032585696148963,0.7975593811287862
trip,150,30,90,0.2,0.6,1.2391028353787559,0.9570712573545435
even,290,27,241,0.09310344827586207,0.8310344827586207,0.5768237337108001,1.3255986955312928
gone,16,1,15,0.0625,0.9375,0.3872196360558612,1.495423839616474
skies,8,4,3,0.5,0.375,3.0977570884468895,0.5981695358465896
travel,199,19,130,0.09547738693467336,0.6532663316582915,0.5915315043265417,1.0420373823793188
schedule,24,2,11,0.08333333333333333,0.4583333333333333,0.5162928480744815,0.731096099368054
still,558,38,471,0.06810035842293907,0.8440860215053764,0.42191673606086666,1.3464174498625747
excited,20,15,3,0.75,0.15,4.646635632670334,0.23926781433863586
first,244,41,153,0.1680327868852459,0.6270491803278688,1.041049513330512,1.0002179123992154
cross,16,3,10,0.1875,0.625,1.1616589081675834,0.9969492264109827
country,24,3,18,0.125,0.75,0.7744392721117224,1.1963390716931792
lax,88,9,56,0.10227272727272728,0.6363636363636364,0.6336321317277729,1.0150755759820915
mco,24,4,15,0.16666666666666666,0.625,1.032585696148963,0.9969492264109827
heard,54,5,41,0.09259259259259259,0.7592592592592593,0.5736587200827573,1.211108689862231
nothing,105,4,93,0.0380952380952381,0.8857142857142857,0.23601958769119158,1.4128194751424212
things,53,14,36,0.2641509433962264,0.6792452830188679,1.6365509146511867,1.083476895118351
virgin,22,7,6,0.3181818181818182,0.2727272727272727,1.9712999653752932,0.4350323897066106
flew,44,14,26,0.3181818181818182,0.5909090909090909,1.9712999653752932,0.9425701776976565
nyc,44,5,31,0.11363636363636363,0.7045454545454546,0.7040357019197475,1.1238336734087442
sfo,71,11,42,0.15492957746478872,0.5915492957746479,0.9598683936032614,0.9435913804903949
last,301,34,224,0.11295681063122924,0.7441860465116279,0.6998255216424867,1.187065125400984
week,73,14,51,0.1917808219178082,0.6986301369863014,1.1881808010481218,1.1143980393854274
fully,6,0,6,0.0,1.0,0.0,1.5951187622575724
sit,68,1,58,0.014705882352941176,0.8529411764705882,0.0911105026013791,1.3605424736902823
seat,201,18,148,0.08955223880597014,0.736318407960199,0.5548221650949652,1.1745153075329389
due,235,4,207,0.01702127659574468,0.8808510638297873,0.10545556045776645,1.4050620586694362
two,218,13,172,0.05963302752293578,0.7889908256880734,0.3694572674294455,1.2585340693041398
large,11,1,8,0.09090909090909091,0.7272727272727273,0.563228561535798,1.1600863725509618
gentleman,2,0,2,0.0,1.0,0.0,1.5951187622575724
either,30,4,20,0.13333333333333333,0.6666666666666666,0.8260685569191705,1.063412508171715
side,11,4,5,0.36363636363636365,0.45454545454545453,2.252914246143192,0.7250539828443511
amazingly,2,2,0,1.0,0.0,6.195514176893779,0.0
want,262,15,200,0.05725190839694656,0.7633587786259542,0.3547050101275064,1.2176479101202844
fares,12,2,3,0.16666666666666666,0.25,1.032585696148963,0.3987796905643931
may,61,5,37,0.08196721311475409,0.6065573770491803,0.5078290308929326,0.9675310525168882
three,68,3,64,0.04411764705882353,0.9411764705882353,0.27333150780413734,1.5012882468306563
times,124,9,103,0.07258064516129033,0.8306451612903226,0.4496744160648711,1.324977681552661
carriers,9,2,7,0.2222222222222222,0.7777777777777778,1.3767809281986174,1.240647926200334
available,73,1,55,0.0136986301369863,0.7534246575342466,0.08487005721772299,1.201801807180363
love,215,119,53,0.5534883720930233,0.24651162790697675,3.4291450560481844,0.393215322789076
hipster,1,1,0,1.0,0.0,6.195514176893779,0.0
feel,53,9,40,0.16981132075471697,0.7547169811320755,1.0520684451329056,1.203863216798168
making,103,29,70,0.2815533980582524,0.6796116504854369,1.74436806922252,1.084061294738156
non,29,1,24,0.034482758620689655,0.8275862068965517,0.21363841989288893,1.3200982860062669
stop,76,3,62,0.039473684210526314,0.8157894736842105,0.2445597701405439,1.3012810955259144
permanently,2,0,0,0.0,0.0,0.0,0.0
anytime,8,1,1,0.125,0.125,0.7744392721117224,0.19938984528219655
guys,302,80,189,0.26490066225165565,0.6258278145695364,1.6411958084486833,0.9982696889625204
messed,14,0,14,0.0,1.0,0.0,1.5951187622575724
reserved,8,1,5,0.125,0.625,0.7744392721117224,0.9969492264109827
seating,21,3,12,0.14285714285714285,0.5714285714285714,0.8850734538419683,0.9114964355757557
friends,26,6,17,0.23076923076923078,0.6538461538461539,1.4297340408216412,1.0429622676299513
gave,73,11,57,0.1506849315068493,0.7808219178082192,0.9335706293949529,1.2455036910778305
free,112,27,61,0.24107142857142858,0.5446428571428571,1.4935614533583217,0.8687700401581421
internet,14,2,9,0.14285714285714285,0.6428571428571429,0.8850734538419683,1.025433490022725
status,84,3,50,0.03571428571428571,0.5952380952380952,0.22126836346049208,0.9494754537247455
match,17,2,11,0.11764705882352941,0.6470588235294118,0.7288840208110328,1.0321356696960764
applied,11,1,6,0.09090909090909091,0.5454545454545454,0.563228561535798,0.8700647794132212
called,127,8,112,0.06299212598425197,0.8818897637795275,0.39026860956811205,1.4067189084476228
emailed,19,2,12,0.10526315789473684,0.631578947368421,0.6521593870414504,1.0074434287942562
no,1357,58,1214,0.04274134119380987,0.894620486366986,0.2648045853057031,1.4270259229039741
happened,41,1,32,0.024390243902439025,0.7804878048780488,0.15111010187545804,1.2449707412742028
ur,78,7,65,0.08974358974358974,0.8333333333333334,0.5560076825417494,1.3292656352146437
vegan,1,0,1,0.0,1.0,0.0,1.5951187622575724
food,57,2,48,0.03508771929824561,0.8421052631578947,0.21738646234715012,1.3432579050590083
least,81,6,68,0.07407407407407407,0.8395061728395061,0.4589269760662058,1.3391120473273446
say,108,12,83,0.1111111111111111,0.7685185185185185,0.6883904640993087,1.2258783080312825
site,71,4,54,0.056338028169014086,0.7605633802816901,0.3490430522193678,1.213188917773365
able,120,27,71,0.225,0.5916666666666667,1.3939906898011003,0.9437786010023971
eat,13,1,11,0.07692307692307693,0.8461538461538461,0.47657801360721375,1.3497158757564074
anything,108,6,78,0.05555555555555555,0.7222222222222222,0.34419523204965435,1.1520302171860246
next,225,36,138,0.16,0.6133333333333333,0.9912822683030046,0.9783395075179777
hrs,179,1,171,0.00558659217877095,0.9553072625698324,0.03461181104409932,1.5238285382460608
miss,159,11,136,0.06918238993710692,0.8553459119496856,0.4286204776467394,1.364378312371257
worry,7,2,4,0.2857142857142857,0.5714285714285714,1.7701469076839367,0.9114964355757557
together,32,3,19,0.09375,0.59375,0.5808294540837917,0.9471017650904336
amazing,58,44,9,0.7586206896551724,0.15517241379310345,4.700045237643556,0.24751842862617504
get,1329,112,980,0.08427389014296463,0.7373965387509406,0.5221200811227262,1.1762350541854183
